,total_population,Municipality_code,latitude,longitude
111,17495.0,86571,0.74643221515,-75.8802297851
112,20045.0,86573,0.05947196958,-75.0647932711
113,18859.0,52683,1.28810540885,-77.4567006834
114,8874.0,52685,1.52978248504,-77.0207066245
115,16653.0,52687,1.54213958238,-77.2187269253
116,10186.0,52560,0.72267831002,-77.4248076098
117,12929.0,52693,1.68157662671,-76.9752797933
118,4619.0,52565,1.23286482073,-77.5984421234
119,6572.0,52694,1.53682349402,-77.1014032491
120,8446.0,52573,0.82651936228,-77.322248747
121,9869.0,52699,1.28517937596,-77.7445744039
122,16431.0,52585,0.91676983126,-77.6333695367
123,23727.0,52678,1.43055526182,-77.6917955915
124,10117.0,52207,1.20906673229,-77.4406392075
125,6421.0,52210,0.93266745817,-77.5280873144
126,14827.0,52215,0.77080180016,-77.3603297713
127,352326.0,52001,1.08360549665,-77.2061007434
128,8197.0,52019,1.46985408446,-77.0688094718
129,6872.0,52022,0.91343191627,-77.695387307
130,8975.0,52224,0.87542699911,-77.7359160047
131,7481.0,52036,1.24525407651,-77.5311577704
132,7626.0,52051,1.48005117229,-77.1298500061
133,5968.0,52083,1.59076428187,-77.0428952552
134,19951.0,52110,1.31521563577,-77.1163663954
135,7764.0,52203,1.63633437916,-77.0473156003
136,4007.0,52480,1.28085960771,-77.3538883474
137,6488.0,52506,1.02981585353,-77.5523494353
138,7041.0,52720,1.03618904012,-77.6804498953
139,15412.0,52786,1.59166139207,-77.3252531552
140,10331.0,52788,1.06407811124,-77.3506349065
141,12419.0,52240,1.38649784442,-77.2696902201
142,6223.0,52254,1.51228396726,-77.4305093423
143,13255.0,52258,1.40943020744,-76.9852695879
144,42413.0,52838,1.1344405229,-77.6307323799
145,8974.0,52411,1.39517308374,-77.5209377376
146,10579.0,52885,1.12554791555,-77.4246756876
147,8013.0,52435,1.15594701598,-77.8466464635
148,16674.0,52378,1.58417599811,-76.9233526214
149,9047.0,52381,1.33392588915,-77.3882284364
150,12457.0,52260,1.43026375973,-77.3831159734
151,6211.0,52287,0.91421698279,-77.3284304407
152,18845.0,52317,0.9750379043,-77.7375894143
153,28659.0,52399,1.61969737595,-77.1428462178
154,10774.0,52320,1.15136665778,-77.5301133624
155,8201.0,52405,1.93897699147,-77.3119443226
156,6290.0,52323,0.92864262303,-77.5826188269
157,7112.0,52352,0.98053403689,-77.5186572947
158,6351.0,52354,1.07287696979,-77.5015086436
159,105517.0,52356,0.5586142199,-77.3703569235
160,32672.0,52227,0.94422327447,-77.9595844555
161,5096.0,52233,1.72559011016,-77.5928163725
162,6498.0,52256,1.84509445197,-77.4382576751
163,5321.0,52385,1.55400610839,-77.7031676235
164,8703.0,52418,1.67260126943,-77.7105444874
165,8149.0,52540,1.73535420156,-77.4813435901
166,18067.0,52612,1.2027550843,-78.047650359
167,34248.0,52079,1.44563773954,-78.1562107238
168,21071.0,52250,2.18315477604,-77.7957364622
169,5847.0,52390,2.41930642959,-78.2099103498
170,18262.0,52427,1.90685842949,-78.0447364381
171,10206.0,52473,2.44249369779,-78.4388270041
172,21415.0,52490,2.28989293391,-78.2947162276
173,7430.0,52520,2.08853192544,-78.591930987
174,10473.0,52621,1.89758115613,-78.3811163004
175,8989.0,52696,2.3021551802,-77.8743722922
176,30104.0,94001,3.31940498489,-68.4572365918
177,7207.0,94343,3.31350791676,-69.3987703833
178,1011.0,94663,2.80888222259,-70.2693256359
179,1411.0,94883,2.15590864045,-67.3398854313
180,1643.0,94884,2.50757983628,-68.2089871518
181,222.0,94885,1.40454027262,-67.0015180013
